2026-02-21 18:54:36,006 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 550 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,111 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 600 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,216 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 650 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,321 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 700 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,426 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 750 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,531 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 800 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,636 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 850 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,741 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 900 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,846 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 950 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:36,952 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1000 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,055 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1050 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
2026-02-21 18:54:37,157 | WARNING  | cache | cache.py:138 | warmup | Warmup OHLC batch 1100 failed: GrowwClient.get_ohlc() got an unexpected keyword argument 'exchange_trading_symbols'
